1569
119	218	224	419	482	496	529	726	740	807	960	1015	1033	1095	1214	
0	30	96	127	234	356	474	537	599	613	628	721	813	896	1138	
237	279	340	346	558	656	726	847	858	893	931	1040	1168	1242	1297	
0	76	397	481	529	582	668	752	828	1022	1099	1116	1272	1418	1475	
0	38	578	730	849	899	1034	1078	1090	1122	1136	1235	1273	1342	1375	
0	151	238	297	381	465	595	711	762	852	881	883	896	1138	1305	
0	155	469	586	608	677	745	813	901	1044	1294	1332	1351	1390	1532	
19	77	175	231	234	267	310	337	439	537	658	752	879	946	1038	
38	332	496	599	655	804	899	980	999	1038	1130	1173	1272	1357	1431	
30	160	238	292	321	376	568	675	752	837	935	1047	1116	1212	1277	
0	115	185	310	751	818	911	987	1032	1044	1111	1192	1273	1359	1430	
76	175	286	435	514	560	608	684	762	911	996	1187	1306	1371	1469	
55	119	390	419	498	530	658	668	734	852	1015	1090	1132	1192	1343	
234	237	297	465	558	620	756	939	978	1049	1141	1163	1221	1330	1510	
0	66	238	353	540	578	695	711	752	996	1131	1242	1357	1371	1469	
0	128	151	158	279	427	584	655	694	837	1059	1138	1274	1343	1384	
66	133	159	305	390	424	439	514	781	796	1008	1047	1116	1132	1277	
0	127	133	283	321	356	435	451	818	1112	1163	1215	1273	1338	1436	
189	231	310	437	498	666	826	918	987	1156	1275	1286	1375	1436	1485	
3	89	226	310	394	642	784	807	935	1077	1244	1295	1351	1470	1532	
