3156
0	158	253	295	321	423	544	596	606	661
0	85	126	222	271	357	500	566	648	739
0	162	238	346	372	472	661	749	809	893
81	195	269	357	372	494	561	705	755	873
0	54	167	300	365	452	649	709	786	817
0	81	111	218	269	321	346	420	567	730
0	295	376	709	809	922	973	1054	1185	1225
0	48	201	261	308	370	592	700	808	869
30	105	447	526	630	941	970	986	1052	1133
23	222	360	479	556	616	786	863	963	1128
0	80	265	270	545	596	669	734	823	943
0	597	1047	1132	1185	1210	1334	1390	1473	1583
179	419	1130	1234	1294	1452	1542	1633	1683	1714
326	456	664	749	842	950	1049	1178	1247	1304
48	100	231	364	437	507	729	798	942	968
194	548	1245	1368	1510	1585	1702	1812	1847	1926
658	755	841	968	1096	1169	1277	1343	1429	1513
421	492	609	825	881	980	1129	1265	1343	1468
726	815	881	967	1073	1143	1256	1557	1619	1722
46	142	735	940	1010	1179	1610	1847	1937	2036
90	492	797	855	988	1429	1489	1650	1720	1797
267	844	920	1133	1156	1335	1512	1515	1662	1804
244	816	963	1023	1262	1291	1384	1670	1897	1933
253	437	532	862	1001	1162	1442	1499	1584	1739
0	65	493	982	1142	1177	1253	1354	1452	1539
68	238	515	556	978	1177	1363	1425	1566	1703
597	979	1119	1204	1461	1543	1752	1754	1929	1952
287	585	1031	1746	1819	1911	2002	2114	2191	2248
880	1814	1965	2036	2145	2234	2306	2433	2456	2493
1186	1316	1427	1511	1640	1717	1857	1903	2018	2065
983	1287	1354	1720	1840	1899	1980	1995	2033	2081
1027	1593	1628	1749	1756	1796	1899	2014	2234	2314
443	601	1187	1995	2191	2232	2270	2358	2403	2495
683	813	2022	2101	2232	2347	2407	2422	2495	2550
446	1229	1628	1722	1754	1796	2101	2175	2330	2336
94	771	906	1515	1911	1955	2050	2175	2203	2336
57	456	646	1063	1463	1599	1688	2203	2306	2345
1425	1493	1572	1828	1866	2296	2403	2493	2587	2628
1139	1275	1297	1877	1933	2366	2430	2506	2527	2620
1642	1940	2050	2070	2108	2430	2443	2550	2615	2704
1297	1384	1659	1890	2070	2435	2456	2527	2628	2660
167	1426	1499	1701	2100	2297	2384	2448	2527	2704
1525	2514	2621	2690	2702	2787	2806	2836	2879	2966
206	1623	1683	2177	2248	2283	2358	2433	2534	2624
1253	2533	2572	2588	2657	2742	2792	2853	2923	2989
251	273	512	1696	1756	1948	1950	2103	2391	2690
1924	2125	2410	2427	2456	2484	2750	2849	2906	2928
820	1087	2572	2601	2657	2695	2906	2989	3042	3053
1944	2577	2772	2881	3042	3062	3125	3140	3141	3151
1094	1143	2661	2678	2795	2825	2881	2923	3020	3102
