2119
0	34	113	215	317	331	398	477	632	713
19	138	220	299	366	432	471	631	757	778
0	193	259	307	404	471	556	632	784	812
90	226	380	465	626	659	757	812	839	854
93	217	297	542	593	707	839	871	949	1012
0	131	222	248	381	413	438	447	564	571
0	91	156	204	306	357	398	477	556	559
237	392	549	643	744	778	867	922	1012	1108
0	186	269	602	695	1046	1127	1190	1231	1262
240	432	534	661	784	1127	1202	1262	1337	1430
98	241	451	544	663	761	1202	1313	1374	1463
331	509	586	695	784	1282	1430	1510	1538	1632
64	401	519	531	829	891	949	1382	1455	1510
463	891	928	962	1001	1455	1538	1632	1715	1809
51	129	561	763	805	883	1529	1693	1800	1834
160	413	531	659	785	865	871	1606	1635	1720
757	810	860	928	981	1635	1647	1814	1848	1969
165	468	741	865	899	1647	1848	1896	2056	2117
357	496	860	899	1001	1656	1722	1800	1900	1979
883	1049	1063	1153	1230	1374	1722	1757	1834	1900
