1699
0	83	161	255	335	388	424	517	587	647	753	883	940	976	1078
0	131	172	211	240	292	369	409	593	663	726	738	823	888	971
0	75	172	320	388	531	586	672	823	883	940	1006	1041	1139	1234
0	23	243	278	310	335	392	393	437	531	622	717	810	865	938
35	131	170	245	343	392	517	586	669	810	931	976	991	1061	1156
0	161	189	232	279	336	424	568	591	598	647	717	779	800	899
189	192	272	438	531	632	663	731	848	931	933	1023	1104	1174	1192
0	23	53	75	278	346	409	498	726	795	899	932	974	1156	1260
346	672	731	818	904	1023	1087	1090	1139	1231	1249	1303	1367	1439	1474
192	219	233	385	452	524	591	731	750	832	974	1141	1171	1303	1314
0	67	161	390	393	476	495	531	755	818	861	954	1053	1210	1259
392	581	588	737	880	1062	1145	1161	1162	1231	1238	1241	1325	1333	1345
82	174	287	291	502	517	764	917	1145	1217	1259	1303	1307	1367	1461
0	67	155	219	343	507	587	813	922	1053	1104	1161	1260	1304	1439
0	174	291	430	447	489	535	1004	1078	1262	1290	1388	1483	1576	1643
