879
0	19	52	90	108	153	208	234	270	310	357	388	420	487	537
0	23	53	82	94	119	157	186	225	244	266	289	315	382	401
0	40	59	108	169	206	222	292	327	388	427	454	499	550	578
0	25	84	137	154	184	196	233	311	343	374	405	447	489	528
0	38	53	88	106	138	161	184	235	277	326	405	436	456	499
0	32	95	119	162	183	208	222	250	310	361	392	420	444	484
0	57	95	110	147	173	200	270	366	378	418	439	513	550	595
0	11	45	138	200	222	261	301	355	397	457	514	544	565	607
0	39	56	98	139	186	232	310	401	436	461	487	499	538	565
0	18	72	99	140	258	281	309	326	356	394	425	487	565	589
11	30	54	90	118	154	171	206	240	303	384	427	478	495	528
56	132	154	180	205	218	273	284	322	413	452	511	528	567	640
22	38	88	187	428	454	465	528	542	570	609	621	673	706	763
20	83	107	219	291	343	390	444	489	589	604	655	689	735	796
212	284	323	336	357	423	442	465	530	565	619	653	676	689	729
243	281	378	398	415	449	484	519	538	588	642	671	702	728	763
99	171	202	240	325	442	473	519	550	605	642	702	775	813	843
30	61	146	275	335	495	506	562	584	595	664	683	695	731	757
48	118	178	257	292	312	345	505	574	606	639	673	711	731	748
0	70	95	349	370	397	439	590	629	655	689	711	755	810	829
