2582
0	89	133	194	339	346	486	507	516	627	735	800	884	922	995	1076	1113	1257	1351	1441
86	194	260	367	450	539	604	659	676	800	845	880	953	997	1062	1173	1262	1373	1444	1513
0	90	133	176	290	398	535	562	676	710	810	822	873	972	1066	1176	1274	1318	1368	1454
0	166	260	293	297	381	479	482	629	668	677	686	820	880	884	985	1005	1076	1185	1271
0	80	131	247	271	411	480	531	592	688	845	972	1034	1058	1117	1177	1201	1318	1333	1351
0	42	89	106	218	256	348	465	495	498	554	634	644	676	754	836	941	1023	1100	1173
256	275	353	481	531	668	769	919	1018	1100	1197	1211	1274	1370	1447	1586	1670	1744	1844	1874
0	25	72	131	168	251	348	351	389	476	531	629	631	777	807	850	905	1155	1279	1356
34	147	293	318	507	569	597	649	927	1018	1055	1148	1261	1400	1463	1555	1645	1735	1874	1900
0	41	265	318	322	416	562	631	659	756	827	1023	1118	1176	1188	1205	1356	1449	1517	1586
0	85	168	188	200	318	352	388	416	479	531	591	684	952	957	997	1162	1206	1251	1292
0	85	203	293	389	476	535	660	735	810	857	866	924	967	1118	1434	1453	1604	1737	1795
251	436	579	774	850	967	997	1033	1210	1401	1458	1680	1754	1806	1819	1833	1894	1941	2028	2101
0	133	299	344	620	756	881	1055	1092	1152	1203	1244	1356	1454	1537	1632	1670	1737	1749	1844
27	128	224	245	270	339	398	482	592	689	724	857	914	944	976	1198	1238	1249	1268	1344
0	270	354	435	495	629	724	957	1092	1152	1208	1262	1417	1540	1639	1697	1754	1756	1900	1990
81	177	200	290	523	1040	1224	1320	1366	1441	1756	1824	1884	1930	1969	2028	2117	2213	2255	2257
90	180	232	275	381	534	597	627	755	866	1063	1292	1333	1366	1430	1555	1586	1665	1709	1723
84	143	344	411	1136	1208	1284	1430	1504	1560	1645	1744	1806	1898	2117	2198	2274	2365	2458	2494
0	72	271	431	558	589	773	839	906	988	1077	1117	1208	1336	1504	1560	1575	1634	1651	1736
