2243
0	100	206	228	310	400	450	507	570	662	705	746	824	855	899
0	111	216	309	325	384	425	480	578	617	761	765	865	984	1102
16	158	277	309	384	393	450	489	543	571	579	616	686	761	770
0	89	129	192	254	332	524	598	617	662	686	772	923	984	1012
37	94	205	226	350	379	598	757	765	824	923	1043	1116	1130	1141
0	125	226	322	507	585	601	649	865	924	1111	1239	1271	1360	1453
0	228	409	463	500	688	806	893	955	1047	1166	1266	1321	1397	1447
10	59	458	489	585	647	677	772	790	855	924	1013	1102	1186	1267
465	500	647	719	807	899	952	1041	1093	1147	1155	1240	1289	1321	1402
466	561	762	825	936	1028	1060	1184	1240	1389	1424	1520	1591	1686	1697
0	280	463	551	595	899	930	1130	1147	1242	1271	1289	1360	1447	1591
592	719	930	1026	1147	1203	1335	1544	1686	1767	1862	1930	2012	2094	2146
94	239	301	350	649	679	964	968	1155	1453	1535	1600	1662	1680	1756
17	679	772	825	832	968	1041	1267	1458	1556	1728	1756	1843	1873	1936
713	994	1088	1179	1237	1314	1365	1379	1380	1520	1622	1672	1767	1819	1873
0	81	276	757	796	893	936	1013	1141	1289	1321	1499	1609	1853	1900
57	81	180	796	975	1104	1159	1196	1556	1643	1680	1775	1917	1968	1993
373	425	550	982	1179	1269	1384	1643	1804	1818	1843	1900	1968	2025	2108
46	813	873	952	1229	1252	1335	1365	1438	1592	1734	1818	1832	1930	2019
567	1078	1167	1252	1298	1384	1458	1575	1639	1700	1827	1979	2054	2126	2173
