1620
0	125	221	280	391	538	647	761	885	950	966	1037	1142	1236	1335
0	37	125	224	293	375	389	469	504	609	646	779	817	911	1042
0	87	133	183	361	406	512	574	611	731	817	1010	1113	1115	1166
0	94	112	166	174	246	278	354	384	485	585	647	717	798	814
87	155	226	316	384	475	512	613	646	731	826	877	1005	1048	1078
0	109	155	184	256	262	293	435	485	732	734	846	879	912	1115
19	40	184	388	458	538	609	665	798	898	976	1087	1109	1201	1202
0	40	154	283	293	368	406	569	734	760	879	969	1042	1130	1201
0	37	293	342	365	391	617	877	914	950	991	1029	1114	1122	1226
40	110	342	389	435	485	634	694	778	892	903	969	1112	1187	1236
14	36	85	118	120	144	243	427	495	516	577	670	764	807	923
495	577	739	820	843	1026	1045	1174	1226	1248	1298	1309	1382	1488	1545
41	62	142	270	462	576	694	843	1078	1226	1239	1335	1395	1440	1472
62	221	316	379	599	632	825	991	1087	1187	1248	1395	1398	1488	1562
0	94	112	166	208	278	458	632	764	903	1026	1066	1114	1130	1331
