3876
0	83	140	245	374	439	521	632	745	811
0	70	122	183	313	340	397	489	508	612
68	122	317	439	459	508	535	632	713	778
0	140	219	340	415	477	489	521	612	714
14	255	457	507	542	805	872	967	1027	1141
93	381	495	572	676	778	872	967	1066	1203
0	306	436	564	635	676	872	929	1014	1146
115	199	526	548	773	872	1032	1222	1297	1369
104	169	277	477	648	713	917	1111	1205	1327
250	379	571	727	848	895	1010	1226	1247	1316
134	319	642	841	968	1175	1370	1399	1498	1587
270	650	800	895	1008	1113	1227	1289	1424	1554
552	667	902	946	1091	1242	1399	1587	1706	1763
0	23	571	837	975	1027	1110	1141	1203	1316
662	922	1041	1067	1133	1229	1279	1360	1643	1719
291	456	664	932	1058	1402	1498	1554	1569	1598
8	236	689	903	1038	1360	1458	1719	1763	1844
189	711	783	1002	1105	1221	1721	1927	2083	2142
198	460	668	1076	1116	1192	1804	1889	2017	2222
467	542	973	1050	1140	1388	1481	1513	1861	2111
534	1080	1172	1236	1352	1954	2017	2205	2251	2278
750	992	1069	1139	1229	2017	2134	2156	2228	2287
846	1198	1323	1401	1428	1436	2043	2138	2262	2362
29	337	748	1229	1305	1513	2138	2233	2351	2407
204	421	884	1098	1194	2233	2254	2337	2407	2537
588	1120	1309	1399	1476	2249	2424	2444	2537	2653
478	1002	1389	1410	1480	1613	1704	2330	2413	2453
44	1004	1305	1443	1540	1704	1815	1901	2265	2413
486	1231	1371	1503	1594	1656	2464	2492	2592	2680
52	1321	1366	1412	1500	1594	1630	1759	2479	2665
1099	1409	1656	1657	1717	1901	1999	2569	2718	2808
1360	1554	1624	1646	1667	2618	2688	2758	2844	2964
1364	1624	1765	1908	2055	2156	2327	2688	2857	3012
631	1199	1538	1560	1700	1765	1788	2691	2785	2926
54	1436	1496	1728	1818	1856	1984	2778	2932	3104
725	1541	1818	1834	1928	1960	2787	2871	2964	3024
785	1834	1960	2055	2079	2087	2319	2364	2845	2851
1359	1573	1933	1984	2146	2431	2581	2746	2851	3151
1952	2087	2185	2258	2295	2910	3104	3216	3259	3326
1465	1558	2049	2202	2349	2913	3021	3036	3171	3266
1618	1665	2137	2284	2295	2966	3104	3129	3231	3365
817	1657	1762	2232	2318	3046	3179	3397	3432	3473
892	1759	1821	1856	2312	2544	2616	2839	2935	3121
1622	1765	1784	1835	2361	2687	3374	3450	3560	3618
1216	1637	2457	2540	2623	3190	3317	3399	3438	3488
1919	1984	2079	2540	2604	3036	3256	3399	3473	3577
1248	2604	2673	2769	2830	3448	3618	3718	3809	3873
1784	2081	2378	2653	2753	3430	3450	3504	3529	3645
2172	2258	2383	2753	2822	3271	3490	3577	3675	3718
1828	2286	2346	2822	2915	3063	3129	3543	3706	3791
