900
0	25	41	58	87	126	165	206	232	294	325	346	386	445	464
0	37	74	108	156	181	196	228	325	355	372	383	429	449	475
30	65	87	110	142	162	194	224	258	275	351	367	406	435	468
0	65	104	142	161	212	242	367	396	464	490	516	545	562	582
0	27	47	94	156	178	211	235	258	287	321	348	374	402	417
0	48	75	123	172	206	254	321	371	413	457	475	503	541	554
0	52	151	192	213	242	269	321	362	388	424	445	462	491	521
0	27	172	201	221	247	293	307	347	386	413	449	462	499	538
47	79	141	174	214	269	295	321	402	441	466	488	554	582	614
0	35	79	136	232	274	310	425	457	499	530	545	560	588	614
0	42	94	180	255	280	293	324	344	371	436	530	544	588	627
0	23	118	146	181	235	275	449	487	582	637	655	673	684	701
35	146	178	256	282	310	383	421	441	544	556	578	614	629	667
24	75	154	225	290	424	457	501	518	614	651	672	714	734	767
20	41	82	123	161	172	214	457	491	529	562	600	655	667	690
58	96	280	344	421	471	504	541	565	589	627	673	691	716	749
0	27	42	248	316	355	422	484	556	592	604	637	661	687	714
288	357	434	446	504	525	592	609	656	687	728	767	787	816	829
196	371	401	515	565	609	677	718	735	747	762	802	819	849	887
71	102	310	337	516	558	629	651	687	717	728	742	771	799	821
