1294
0	66	160	250	361	400	492	499	511	559
0	13	88	118	132	291	429	506	526	637
0	77	114	148	198	286	506	633	657	702
13	40	114	247	309	361	481	490	659	727
0	88	132	189	250	366	430	490	543	633
0	71	309	347	435	539	607	657	750	773
40	286	363	429	511	607	637	725	822	855
95	184	192	428	621	686	735	823	899	937
66	192	347	492	644	773	784	839	965	1063
135	174	202	322	382	556	572	618	702	730
0	375	572	659	725	730	839	878	913	1008
72	174	194	344	366	686	812	831	890	1008
0	194	285	363	711	739	831	859	864	937
229	739	878	982	1068	1153	1182	1194	1227	1282
423	522	539	639	815	855	1016	1081	1182	1189
