2503
0	47	108	154	232	349	382	516	611	731	738	850	943	1063	1109	1125	1257	1313	1371	1416
0	141	156	177	250	313	478	498	576	589	661	709	828	924	956	1002	1047	1111	1161	1176
0	143	232	260	382	465	534	645	723	757	849	943	991	1109	1250	1329	1400	1494	1589	1676
47	146	252	261	313	328	404	427	494	615	631	641	695	742	755	821	854	892	945	1052
146	179	251	268	349	424	484	498	593	636	731	807	943	1039	1113	1189	1300	1377	1418	1520
0	137	153	250	366	445	544	587	699	757	843	894	930	983	1063	1126	1138	1232	1300	1346
0	60	143	229	283	316	409	425	486	593	709	807	821	1059	1070	1147	1165	1232	1294	1314
0	284	518	564	631	849	930	1081	1176	1185	1282	1409	1497	1504	1520	1590	1605	1708	1792	1961
87	153	383	521	562	615	699	754	808	850	925	982	1064	1126	1176	1204	1231	1377	1523	1614
0	78	141	179	243	334	484	562	723	800	1070	1165	1257	1346	1409	1456	1504	1508	1566	1584
4	78	187	242	338	498	567	593	667	755	802	1195	1294	1371	1448	1497	1566	1646	1671	1765
0	243	537	597	945	1040	1059	1189	1465	1475	1483	1566	1660	1730	1792	1862	1929	1997	2043	2120
97	169	260	341	353	451	647	693	905	993	1004	1109	1197	1475	1497	1682	1749	1771	1788	1831
0	60	137	169	220	251	383	403	407	438	601	993	1113	1157	1167	1210	1369	1508	1606	1675
0	272	394	429	494	544	738	829	943	982	1027	1209	1606	1695	1772	1922	1997	2039	2079	2165
0	62	68	114	154	314	403	414	427	516	587	656	742	802	894	950	1329	1409	1427	1502
117	211	268	328	391	438	589	592	876	956	1339	1409	1495	1578	1660	1743	1813	1835	1929	1975
72	78	106	177	186	213	431	521	1021	1145	1161	1198	1259	1300	1695	1875	1959	2045	2136	2160
541	1126	1153	1456	1523	1646	1656	1730	1813	1827	1922	1983	2049	2165	2211	2238	2243	2260	2324	2334
169	564	599	1111	1242	1341	1775	1873	1961	2049	2080	2168	2192	2249	2293	2322	2359	2382	2397	2447
