2849
395	502	552	907	1052	1140	1372	1560	1935	2033	2076	2219	2308	2349	2404	2490	2530	2606	2704	2749	
21	117	196	568	665	768	846	907	930	977	1031	1067	1298	1350	1434	1579	1679	1757	1837	2039	
107	320	407	450	539	618	1021	1052	1090	1153	1291	1305	1358	1479	1615	1724	1835	1887	1896	1969	
18	117	196	450	455	560	639	679	963	1007	1018	1031	1156	1229	1296	1372	1376	1421	1597	1673	
0	94	154	241	271	424	492	615	810	926	1031	1132	1191	1221	1348	1385	1429	1520	1592	1679	
0	49	105	125	179	237	348	815	909	947	1018	1116	1204	1919	2152	2230	2329	2418	2499	2576	
0	62	364	492	552	590	1062	1160	1354	1442	1851	1899	1935	2044	2127	2219	2293	2374	2490	2522	
0	29	85	463	518	618	690	695	766	888	939	1250	1277	1348	1385	1417	1483	1579	1724	1811	
0	588	793	913	1023	1098	1132	1196	1202	1281	1483	1630	1703	1733	1798	1912	2044	2162	2194	2224	
0	47	202	243	255	367	461	531	596	722	834	947	1081	1153	1274	1326	1520	1673	1750	1826	
137	169	269	292	306	407	446	539	703	907	954	1229	1291	1421	1427	1465	1811	1859	1864	1912	
26	128	241	348	459	531	779	888	977	1095	1153	1185	1193	1248	1284	1403	1449	1460	1550	1636	
0	482	623	679	768	799	834	1054	1098	1120	1160	1185	1857	1919	1933	1950	2097	2152	2249	2329	
0	157	373	424	688	766	846	1535	1612	1684	1740	1785	1855	1992	2060	2230	2299	2404	2522	2623	
71	150	266	333	364	443	518	643	703	801	834	1027	1116	1165	1221	1294	1401	1479	1502	1532	
55	154	328	419	474	705	832	870	1502	1545	1612	1703	1794	1830	1947	1992	2036	2039	2105	2131	
0	55	67	181	255	333	488	568	692	804	915	1432	1502	1595	1636	1794	1989	2127	2194	2197	
0	107	167	225	266	335	400	434	476	500	604	688	1098	1153	1238	1333	1391	1514	1569	1585	
0	173	243	340	443	494	552	824	907	981	1081	1185	1216	1350	2033	2122	2210	2311	2411	2466	
0	85	209	241	328	383	500	627	768	810	832	915	1023	1086	1232	1305	1330	1408	1432	1532	
