1107
0	13	78	113	241	275	322	362	447	570	580	629	704	732	793	833	871	942	1009	1045	
0	63	85	103	133	169	215	281	296	315	329	340	391	421	466	486	556	596	634	662	
31	70	98	130	216	251	265	317	343	356	379	432	458	576	603	629	662	685	712	840	
0	109	232	266	329	372	404	452	486	530	578	593	603	667	704	752	912	949	981	1004	
0	45	167	203	226	296	354	404	450	506	547	583	634	662	742	829	882	937	962	999	
0	48	98	120	134	174	184	229	310	353	394	410	435	447	487	521	556	588	603	634	
20	48	81	118	156	216	236	280	317	334	359	376	460	549	729	773	848	906	937	973	
0	20	68	81	103	151	179	225	241	288	408	455	542	652	685	713	732	773	817	850	
0	14	54	73	122	143	156	203	276	308	340	387	504	527	570	615	676	727	808	840	
39	71	93	123	141	182	226	248	259	480	517	558	588	615	651	706	726	781	795	869	
38	60	82	123	154	238	306	353	379	417	447	510	594	646	664	681	706	754	788	817	
0	140	215	236	379	407	580	616	652	701	736	772	808	847	881	930	966	1004	1050	1094	
56	108	140	154	248	355	559	586	634	697	732	754	765	789	837	848	885	896	930	942	
0	57	82	125	167	216	254	314	585	636	681	705	752	767	797	837	883	914	942	981	
37	78	104	120	167	294	334	389	432	455	480	500	584	616	662	690	713	733	795	833	
0	201	249	280	322	346	359	403	447	466	507	542	584	611	651	690	743	781	802	829	
37	81	130	184	249	294	362	412	493	541	634	757	773	821	865	906	941	988	1009	1019	
0	38	65	97	134	153	179	201	238	265	310	337	362	410	463	523	623	653	706	930	
0	17	57	131	167	218	267	281	305	342	365	387	450	473	510	521	757	865	881	891	
0	81	109	122	151	193	421	467	511	541	556	596	683	728	772	880	909	942	973	1008	
