2418
139	166	271	296	349	423	475	603	686	787	
81	207	316	397	564	633	674	751	831	1007	
232	329	672	707	726	827	964	1376	1477	1590	
0	158	247	316	354	440	1102	1208	1264	1351	
287	413	500	629	881	956	1054	1086	1105	1148	
1295	1449	1486	1596	1691	1786	1847	1882	1948	1978	
986	1078	1120	1183	1199	1227	1413	1466	1512	1724	
824	1007	1078	1226	1313	1338	1392	1434	1477	1495	
50	706	798	831	882	960	1148	1170	1236	1286	
540	1717	1786	1870	1897	2023	2081	2150	2244	2322	
8	106	174	331	404	527	544	596	749	788	
174	271	431	463	549	614	686	751	828	983	
126	180	399	588	700	840	940	1093	1135	1236	
46	133	152	204	235	336	866	964	1019	1117	
0	163	439	500	579	611	770	927	1049	1099	
24	84	160	595	650	732	869	960	1014	1148	
1103	1167	1236	1351	1797	1848	1881	1915	1976	2023	
0	66	151	351	413	459	504	529	780	886	
1036	1253	1392	1413	1476	1533	1570	1637	1786	1843	
87	107	216	330	788	1512	1596	1627	1683	1767	
0	156	421	491	549	579	726	749	833	878	
982	1036	1086	1148	1174	1236	1293	1347	1385	1459	
8	102	182	238	1156	1249	1359	1433	1556	1637	
0	36	107	316	361	420	519	607	715	833	
0	168	253	364	858	1459	1476	1514	1570	1626	
534	1028	1313	1385	1782	1797	1839	1937	1998	2038	
454	558	1691	1717	1848	1937	1998	2022	2097	2141	
0	54	192	301	319	354	397	451	544	620	
0	93	156	1162	1199	1319	1870	1882	1915	1948	
0	66	87	152	358	466	570	588	611	698	
