3771
597	694	1579	1793	1835	1900	2082	2149	2216	2322	
1184	2025	2189	2272	2323	2454	2588	2687	3434	3453	
357	1928	2129	2271	2312	2548	2621	2855	3421	3513	
1380	1654	1786	2235	2475	2570	2710	3219	3318	3376	
216	524	568	799	1122	1231	1322	1461	1650	1825	
72	1195	1957	2095	2162	2245	2250	2526	2959	3349	
382	398	666	1205	1960	2093	2149	2579	2711	2876	
677	915	1291	1365	1431	1466	1561	1737	1889	1934	
1603	1616	1862	2075	2230	2288	2820	3260	3704	3728	
766	937	1166	1246	2082	2121	2402	2806	3142	3410	
785	963	1635	1944	2030	2284	2421	2892	3533	3684	
0	245	492	777	892	915	1017	1173	1377	1535	
0	1961	2098	2237	2312	2401	2516	3462	3533	3596	
299	782	857	1187	1844	1930	2024	3095	3193	3521	
702	838	1323	1742	1978	2091	2138	2310	2483	3104	
95	717	822	1055	1229	1246	1398	1493	1638	1916	
327	1287	2384	2445	2538	3035	3087	3143	3205	3418	
0	660	1030	2331	2416	2671	2733	2782	2855	3122	
262	513	731	828	1541	1641	1650	1773	1872	1960	
244	439	864	1130	1619	1822	1914	2003	2085	2138	
590	2315	2474	2538	2598	2769	2806	3553	3649	3766	
767	919	1426	2141	2638	3128	3200	3431	3481	3728	
1860	1904	2212	2391	2561	2673	2768	3121	3272	3375	
229	505	852	958	1284	1387	1575	1684	1726	1871	
305	978	1133	1319	2032	2362	2479	2574	2649	2834	
34	1058	1168	1410	1543	1624	1726	1863	1960	2055	
944	1549	1680	1742	1901	1998	2065	2159	2207	2371	
76	509	1493	1586	2000	2166	2207	3126	3276	3471	
138	1005	1576	1794	2235	2859	3045	3182	3357	3446	
347	1306	1839	1900	2038	2413	2527	2682	2728	3163	
1400	1485	1831	1874	1952	2059	2488	2586	2967	3035	
1108	1713	2033	2094	2130	2209	2250	3003	3184	3739	
159	272	799	896	1023	1082	1186	1293	1418	1561	
392	605	890	1218	1306	1329	1377	1584	1733	1825	
866	1061	1783	2121	2162	2235	3284	3358	3410	3610	
174	447	587	761	1012	1030	1085	1182	1231	1471	
2207	2272	2324	2476	2539	2650	2726	2809	3292	3374	
37	133	1014	1508	2209	2294	2344	2507	2827	2952	
0	340	1521	1713	2445	3016	3141	3231	3349	3495	
85	311	563	694	765	799	883	940	1017	1100	
884	1063	1424	1717	1883	1923	2013	2099	2396	3325	
0	300	497	594	951	963	1026	1116	1238	1329	
383	695	1251	1643	1770	1836	2024	2125	2493	2937	
437	1062	1167	1464	1616	1695	1857	1939	2634	2740	
242	574	1239	1485	2024	2144	2226	2313	2453	2873	
653	2361	2384	2521	2619	3090	3136	3268	3675	3739	
224	847	1869	2123	2257	2416	2617	2659	2718	3620	
85	185	413	510	683	766	843	883	960	1100	
149	352	797	990	1082	1234	1351	1542	1606	1782	
71	296	1690	1923	2375	2512	2835	2987	3018	3092	
