1464
0	254	285	318	345	461	747	1057	1154	1242	
0	39	145	311	383	524	569	703	861	938	
270	499	556	663	736	969	1057	1190	1221	1304	
0	367	652	675	746	843	1114	1321	1338	1356	
0	32	436	471	482	542	547	610	905	1386	
0	86	332	409	540	610	704	793	905	1063	
67	153	354	452	804	937	1132	1215	1301	1372	
0	236	254	420	461	481	610	789	931	1062	
98	145	243	393	452	897	1051	1081	1264	1321	
0	563	652	662	736	744	843	949	1081	1131	
373	463	482	559	667	694	822	949	1122	1304	
77	185	736	885	971	1170	1301	1311	1316	1361	
247	332	452	564	663	720	851	969	1050	1189	
151	432	460	472	502	514	797	868	946	981	
114	191	233	705	814	843	906	981	1066	1211	
86	153	224	275	672	707	901	960	1060	1139	
59	409	559	628	785	870	1093	1193	1274	1356	
0	151	247	334	513	610	707	1025	1088	1170	
59	151	275	334	452	677	776	906	1006	1431	
0	98	233	311	556	588	677	817	870	1159	
