1782
0	259	286	445	508	533	633	844	953	1074	
286	637	772	941	1004	1165	1236	1251	1397	1692	
291	525	783	869	924	988	1167	1252	1338	1530	
151	926	978	1101	1125	1155	1439	1547	1630	1711	
125	218	416	667	724	837	937	1088	1623	1683	
32	173	402	470	551	560	633	694	801	907	
279	490	561	605	685	724	794	953	1076	1155	
55	237	366	749	811	898	1069	1465	1670	1711	
910	993	1077	1155	1162	1199	1387	1418	1437	1605	
462	533	635	731	864	867	932	1091	1155	1534	
229	325	685	852	954	1089	1101	1239	1423	1560	
0	95	195	370	869	1027	1430	1483	1620	1682	
0	19	223	439	508	636	728	748	994	1105	
0	111	262	355	458	551	694	728	812	937	
0	222	305	465	595	649	679	745	844	1028	
166	418	811	947	954	1338	1428	1507	1643	1732	
82	198	227	241	368	462	468	527	673	883	
66	385	543	637	945	980	1069	1326	1387	1530	
5	706	783	822	956	1001	1435	1444	1630	1700	
561	595	879	1077	1101	1236	1252	1335	1479	1760	
