2467
34	42	126	175	245	420	532	555	639	861	953	975	1034	1059	1201	
0	265	298	305	374	453	555	611	639	651	701	803	903	984	1075	
872	1130	1163	1251	1334	1352	1434	1502	1552	1610	1642	1778	2065	2106	2199	
319	383	642	733	850	913	946	1075	1333	1378	1486	1581	1715	1779	1850	
824	922	983	1038	1134	1163	1334	1529	1543	1642	1699	1778	1871	1940	2029	
768	824	887	947	1040	1120	1174	1337	1417	1616	1664	1779	1922	1937	1965	
55	186	337	374	468	559	670	763	840	903	953	1127	1266	1333	1405	
0	175	326	343	441	528	551	625	706	803	835	906	1034	1082	1182	
382	472	559	650	747	863	922	1854	1930	1980	2078	2106	2275	2357	2358	
346	516	592	763	914	947	1041	1082	1244	1559	1643	1760	1874	1941	2357	
62	349	416	472	652	785	825	859	909	1035	1182	1266	1343	1410	1475	
318	319	455	562	644	794	839	1142	1230	1244	1343	1378	1475	1996	2097	
0	682	768	866	946	1040	1174	1251	1496	1569	1989	2199	2255	2353	2420	
0	45	593	658	733	853	887	963	1269	1486	1496	1606	1896	1989	2106	
196	261	812	929	973	1032	1215	1246	1365	1423	1655	1756	1760	1840	1940	
128	199	234	403	428	459	488	528	611	706	767	907	975	1826	1871	
0	114	145	217	232	246	343	366	411	412	417	504	538	550	648	
0	298	409	569	880	883	973	1643	1699	1749	1756	1965	2065	2106	2178	
67	115	178	321	360	551	625	701	761	884	909	984	1023	1141	1230	
0	80	126	151	153	178	212	234	298	380	479	558	713	784	840	
