1771
98	145	317	678	750	803	812	942	1057	1165	
90	97	156	251	420	549	653	738	812	884	
170	330	486	582	1048	1219	1365	1380	1547	1682	
0	268	385	474	486	738	811	936	1149	1247	
497	615	887	1040	1118	1188	1370	1506	1603	1644	
656	775	798	1058	1090	1152	1208	1411	1435	1506	
0	172	241	270	339	404	480	562	668	751	
888	950	1049	1090	1163	1243	1310	1598	1689	1702	
120	241	266	458	569	623	668	718	885	962	
0	143	536	666	947	1026	1270	1405	1424	1515	
0	70	209	292	330	381	480	509	562	569	
96	335	385	473	742	837	884	1087	1196	1337	
258	998	1040	1148	1205	1290	1304	1380	1503	1644	
404	669	827	1049	1058	1194	1245	1296	1516	1732	
493	569	702	802	894	983	1044	1136	1445	1503	
285	404	803	1071	1118	1271	1477	1570	1602	1715	
0	114	623	656	802	831	877	942	1113	1246	
75	164	437	549	793	816	953	1136	1205	1260	
56	154	261	317	352	395	456	549	649	751	
395	591	759	793	894	991	1057	1187	1435	1646	
