3053
192	351	483	689	786	989	1210	1430	1856	2029	2112	2800	2874	2898	3015	
169	331	431	511	602	1404	1487	1581	1933	2023	2317	2394	2515	2552	2594	
33	83	282	599	701	838	1729	1758	1804	1812	2228	2635	2659	2666	2815	
0	606	729	1044	1313	1381	1884	2073	2235	2285	2330	2400	2448	2473	2724	
22	428	575	745	838	1310	1439	1721	1791	1851	1994	2157	2243	2309	2706	
0	67	385	392	658	718	769	838	930	1579	1741	1901	1907	2509	2579	
0	131	917	1009	1264	1518	1556	1651	1733	1826	2499	2510	2584	2664	2670	
0	88	351	446	761	901	1061	1202	1296	1487	1733	1851	2010	2509	2888	
8	406	498	622	771	817	1020	1056	1400	1610	1736	2230	2314	2517	2594	
235	302	386	588	649	743	930	1009	1725	1738	1926	2574	2597	2664	2667	
0	560	811	1000	1132	1164	1261	1321	1956	1963	2273	2510	2706	2825	2898	
0	320	504	1056	1178	1210	1612	1693	1866	2039	2117	2176	2318	2446	2536	
33	445	559	640	658	888	982	1722	1740	1816	1914	2213	2309	2367	2503	
0	128	169	518	631	1230	1310	1372	1480	1541	1637	1738	1826	2071	2309	
89	282	386	428	616	671	794	916	1052	1126	1638	1700	2095	2443	2538	
0	91	893	989	1142	1932	2007	2051	2160	2547	2798	2905	2939	2987	3015	
121	531	663	733	817	838	1232	1305	1819	1986	2220	2360	2392	2476	2551	
88	514	542	662	877	977	1115	1249	1338	1477	1650	2107	2347	2360	2454	
85	136	261	337	418	598	743	1125	1354	1490	1708	1838	2111	2345	2953	
225	528	672	941	1191	1327	1466	1617	1651	1804	1879	1927	2074	2172	2192	
0	171	264	552	609	783	1140	1236	1305	1382	1543	1927	1964	2360	2454	
151	291	385	524	635	898	1081	1225	1431	1776	1960	2070	2074	2143	2192	
0	199	349	688	796	1211	1314	1389	1510	2392	2652	2734	2825	2941	2953	
353	793	1050	1385	1516	1645	1717	1894	1946	2095	2260	2395	2494	2495	2530	
268	410	568	783	1035	1081	1225	1355	1598	1694	1751	1960	2186	2344	2475	
0	117	488	709	719	796	1066	1131	1331	1407	1673	1763	1892	2020	2050	
139	225	326	600	760	838	1460	1465	1605	1653	1776	1887	1932	2060	2538	
74	386	497	614	696	924	955	1236	1456	1632	2041	2110	2262	2640	2691	
140	228	437	458	581	1088	1265	1424	1531	1758	2109	2296	2336	2367	2497	
68	239	292	1048	1088	1131	1242	1490	1980	2151	2235	2320	2602	2689	2769	
472	620	1649	1866	2150	2176	2455	2509	2560	2671	2689	2751	2939	2941	2987	
296	697	807	1009	1126	1182	1388	1499	1598	1909	2036	2135	2258	2268	2576	
86	165	227	321	555	982	1089	1330	1382	1448	1893	2044	2124	2359	2625	
0	117	128	284	884	1017	1150	1312	1667	1737	1939	2017	2403	2689	2763	
247	628	1567	1792	1924	2095	2341	2383	2392	2431	2509	2662	2689	2747	2763	
221	421	562	1341	1448	1493	1817	2004	2093	2110	2167	2251	2317	2608	2670	
43	128	291	326	453	559	976	1066	1399	1603	1670	1739	1840	2415	2766	
0	211	314	384	1219	1536	1642	1896	1918	1961	2050	2136	2579	2620	2723	
243	254	560	619	1222	1232	1337	2080	2121	2237	2509	2695	2724	2840	2898	
0	86	184	399	592	677	755	817	894	976	1137	1516	1748	2316	2428	
76	278	458	493	609	844	1465	1597	1723	1828	1950	2094	2176	2539	2954	
0	202	453	635	696	1241	1653	2268	2330	2465	2550	2632	2728	2942	2954	
462	534	542	656	910	1028	1139	1198	1271	1502	1516	1666	2691	2769	2815	
96	114	329	539	715	812	1013	1486	1582	1752	1863	1964	2145	2221	2376	
231	362	496	540	693	925	1158	1237	1345	1506	1636	1857	1964	2046	2148	
158	268	547	863	1063	1215	1237	1341	1613	1734	1772	1946	1990	2469	2874	
193	259	609	701	841	924	1243	1335	1461	1545	1726	1819	2075	2255	2580	
63	149	392	446	563	615	838	906	1166	1657	1995	2128	2391	2455	2648	
92	254	353	420	551	786	817	1014	1066	1160	1364	1963	1999	2166	2593	
346	409	421	494	518	929	1261	1335	1501	1547	1648	1705	2173	2230	2324	
