1384
72	104	303	388	430	550	625	758	922	1078	
0	70	367	716	903	958	1054	1119	1196	1298	
33	214	470	497	549	785	1182	1215	1298	1335	
99	243	417	519	549	720	823	903	1013	1054	
0	199	326	428	435	705	795	854	1198	1215	
163	220	281	326	388	442	873	910	1089	1148	
40	147	378	470	541	646	742	917	1013	1086	
0	125	328	501	553	881	997	1151	1260	1292	
95	298	553	646	673	695	816	861	1211	1260	
0	138	233	302	328	412	506	612	706	826	
104	209	358	452	550	709	771	828	921	962	
139	270	337	412	497	787	826	904	1092	1105	
0	117	163	258	634	780	875	949	999	1087	
0	118	230	384	485	624	767	861	937	1284	
0	75	494	538	639	709	839	1085	1123	1153	
199	351	442	569	758	783	855	1119	1215	1284	
0	241	337	435	640	705	777	999	1144	1303	
69	185	210	241	428	578	681	783	987	1085	
179	695	829	902	937	959	1006	1118	1198	1292	
70	138	162	277	425	494	574	624	735	925	
